,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV,RM+DIS,aha
97,0.12083,0.0,2.89,0.0,0a.4b4 5c,8.069,76.0,3.4952,...a2_.//b,276,18.0,396.9,4.21,38.7,8.069 3.4952,aha
98,0.08187,0.0,2.89,0.0,0a.4b4 5c,7.82,36.9,3.4952,...a2_.//b,276,18.0,393.53,3.57,43.8,7.82 3.4952,aha
99,0.0686,0.0,2.89,0.0,0a.4b4 5c,7.416,62.5,3.4952,...a2_.//b,276,18.0,396.9,6.19,33.2,7.416 3.4952,aha
100,0.14866,0.0,8.56,0.0,0a.5b2 c,6.727,79.9,2.7778,...a5_.//b,384,20.9,394.76,9.42,27.5,6.727 2.7778,aha
101,0.11432,0.0,8.56,0.0,0a.5b2 c,6.781,71.3,2.8561,...a5_.//b,384,20.9,395.58,7.67,26.5,6.781 2.8561,aha
102,0.22876,0.0,8.56,0.0,0a.5b2 c,6.405,85.4,2.7147,...a5_.//b,384,20.9,70.8,10.63,18.6,6.405 2.7147,aha
103,0.21161,0.0,8.56,0.0,0a.5b2 c,6.137,,2.7147,...a5_.//b,384,20.9,394.47,13.44,19.3,6.137 2.7147,aha
104,0.1396,0.0,8.56,0.0,0a.5b2 c,6.167,90.0,2.421,...a5_.//b,384,20.9,392.69,12.33,20.1,6.167 2.421,aha
105,0.13262,0.0,8.56,0.0,0a.5b2 c,5.851,96.7,2.1069,...a5_.//b,384,20.9,394.05,16.47,19.5,5.851 2.1069,aha
106,0.1712,0.0,8.56,0.0,0a.5b2 c,5.836,91.9,2.211,...a5_.//b,384,20.9,395.67,18.66,19.5,5.836 2.211,aha
107,0.13117,0.0,8.56,0.0,0a.5b2 c,6.127,85.2,2.1224,...a5_.//b,384,20.9,387.69,14.09,20.4,6.127 2.1224,aha
108,0.12802,0.0,8.56,0.0,0a.5b2 c,6.474,97.1,2.4329,...a5_.//b,384,20.9,395.24,12.27,19.8,6.474 2.4329,aha
109,0.26363,0.0,8.56,0.0,0a.5b2 c,6.229,91.2,2.5451,...a5_.//b,384,20.9,391.23,15.55,19.4,6.229 2.5451,aha
110,0.10793,0.0,8.56,0.0,0a.5b2 c,6.195,54.4,2.7778,...a5_.//b,384,20.9,393.49,13.0,21.7,6.195 2.7778,aha
111,0.10084,0.0,10.01,0.0,0a.5b4 7c,6.715,81.6,2.6775,...a6_.//b,432,17.8,395.59,10.16,22.8,6.715 2.6775,aha
112,0.12329,0.0,10.01,0.0,0a.5b4 7c,5.913,92.9,2.3534,...a6_.//b,432,17.8,394.95,16.21,18.8,5.913 2.3534,aha
113,0.22212,0.0,10.01,0.0,0a.5b4 7c,6.092,95.4,2.548,...a6_.//b,432,17.8,396.9,17.09,18.7,6.092 2.548,aha
114,0.14231,0.0,10.01,0.0,0a.5b4 7c,6.254,84.2,2.2565,...a6_.//b,432,17.8,388.74,10.45,18.5,6.254 2.2565,aha
115,,0.0,10.01,0.0,0a.5b4 7c,5.928,88.2,2.4631,...a6_.//b,432,17.8,344.91,15.76,18.3,5.928 2.4631,aha
116,0.13158,0.0,10.01,0.0,0a.5b4 7c,6.176,72.5,2.7301,...a6_.//b,432,17.8,393.3,,21.2,6.176 2.7301,aha
117,0.15098,0.0,10.01,0.0,0a.5b4 7c,6.021,82.6,2.7474,...a6_.//b,432,17.8,394.51,10.3,19.2,6.021 2.7474,aha
118,0.13058,,10.01,0.0,0a.5b4 7c,5.872,73.1,2.4775,...a6_.//b,432,17.8,338.63,15.37,20.4,5.872 2.4775,aha
119,0.14476,0.0,10.01,,0a.5b4 7c,5.731,65.2,2.7592,...a6_.//b,432,17.8,391.5,13.61,19.3,5.731 2.7592,aha
120,0.06899,0.0,25.65,0.0,0a.5b8 1c,5.87,69.7,2.2577,...a2_.//b,188,19.1,389.15,14.37,22.0,5.87 2.2577,aha
121,0.07165,0.0,25.65,0.0,0a.5b8 1c,6.004,84.1,2.1974,...a2_.//b,188,19.1,377.67,14.27,20.3,6.004 2.1974,aha
122,0.09299,0.0,25.65,0.0,0a.5b8 1c,5.961,92.9,2.0869,...a2_.//b,188,19.1,378.09,17.93,20.5,5.961 2.0869,aha
123,0.15038,0.0,,0.0,0a.5b8 1c,5.856,97.0,1.9444,...a2_.//b,188,19.1,370.31,25.41,17.3,5.856 1.9444,aha
124,0.09849,0.0,25.65,0.0,0a.5b8 1c,5.879,95.8,2.0063,...a2_.//b,188,19.1,379.38,17.58,18.8,5.879 2.0063,aha
125,0.16902,0.0,25.65,0.0,0a.5b8 1c,5.986,88.4,1.9929,...a2_.//b,188,19.1,385.02,14.81,21.4,5.986 1.9929,aha
126,0.38735,0.0,25.65,0.0,0a.5b8 1c,5.613,,1.7572,...a2_.//b,188,19.1,359.29,27.26,15.7,5.613 1.7572,aha
127,0.25915,0.0,21.89,0.0,0a.6b2 4c,5.693,96.0,1.7883,...a4_.//b,437,21.2,392.11,17.19,16.2,5.693 1.7883,aha
128,0.32543,0.0,21.89,0.0,0a.6b2 4c,6.431,98.8,1.8125,...a4_.//b,437,21.2,396.9,15.39,18.0,6.431 1.8125,aha
129,0.88125,0.0,21.89,0.0,0a.6b2 4c,5.637,94.7,1.9799,...a4_.//b,437,21.2,396.9,18.34,14.3,5.637 1.9799,aha
130,0.34006,0.0,21.89,0.0,0a.6b2 4c,6.458,98.9,2.1185,...a4_.//b,437,21.2,395.04,12.6,19.2,6.458 2.1185,aha
131,1.19294,0.0,21.89,0.0,0a.6b2 4c,6.326,97.7,2.271,...a4_.//b,437,21.2,396.9,12.26,19.6,6.326 2.271,aha
132,0.59005,0.0,21.89,0.0,0a.6b2 4c,6.372,97.9,2.3274,...a4_.//b,437,21.2,385.76,11.12,23.0,6.372 2.3274,aha
133,0.32982,,,0.0,0a.6b2 4c,5.822,95.4,2.4699,...a4_.//b,437,21.2,388.69,15.03,18.4,5.822 2.4699,aha
134,0.97617,0.0,21.89,0.0,0a.6b2 4c,5.757,98.4,2.346,...a4_.//b,437,21.2,262.76,17.31,15.6,5.757 2.346,aha
135,0.55778,0.0,21.89,0.0,0a.6b2 4c,6.335,98.2,2.1107,...a4_.//b,437,21.2,394.67,16.96,18.1,6.335 2.1107,aha
136,0.32264,0.0,21.89,0.0,0a.6b2 4c,5.942,93.5,1.9669,...a4_.//b,437,21.2,378.25,16.9,17.4,5.942 1.9669,aha
137,0.35233,0.0,21.89,0.0,0a.6b2 4c,6.454,98.4,1.8498,...a4_.//b,437,21.2,394.08,14.59,17.1,6.454 1.8498,aha
138,0.2498,0.0,21.89,0.0,0a.6b2 4c,5.857,,1.6686,...a4_.//b,437,21.2,392.04,21.32,13.3,5.857 1.6686,aha
139,0.54452,0.0,21.89,0.0,0a.6b2 4c,6.151,97.9,1.6687,...a4_.//b,437,21.2,396.9,18.46,17.8,6.151 1.6687,aha
140,0.2909,0.0,21.89,0.0,0a.6b2 4c,6.174,93.6,1.6119,...a4_.//b,437,21.2,388.08,24.16,14.0,6.174 1.6119,aha
141,1.62864,0.0,21.89,0.0,0a.6b2 4c,5.019,100.0,1.4394,...a4_.//b,437,21.2,396.9,34.41,14.4,5.019 1.4394,aha
142,3.32105,0.0,19.58,1.0,0a.8b7 1c,5.403,100.0,1.3216,...a5_.//b,403,14.7,396.9,26.82,13.4,5.403 1.3216,aha
143,4.0974,0.0,19.58,0.0,0a.8b7 1c,5.468,100.0,1.4118,...a5_.//b,403,14.7,396.9,26.42,15.6,5.468 1.4118,aha
144,2.77974,0.0,19.58,0.0,0a.8b7 1c,4.903,97.8,1.3459,...a5_.//b,403,14.7,396.9,29.29,11.8,4.903 1.3459,aha
145,2.37934,0.0,19.58,0.0,0a.8b7 1c,6.13,100.0,1.4191,...a5_.//b,403,14.7,172.91,27.8,13.8,6.13 1.4191,aha
146,2.15505,,19.58,0.0,0a.8b7 1c,5.628,100.0,1.5166,...a5_.//b,403,14.7,169.27,16.65,15.6,5.628 1.5166,aha
147,2.36862,0.0,,0.0,0a.8b7 1c,4.926,95.7,1.4608,...a5_.//b,403,14.7,391.71,29.53,14.6,4.926 1.4608,aha
148,2.33099,0.0,,0.0,0a.8b7 1c,5.186,93.8,1.5296,...a5_.//b,403,14.7,356.99,28.32,17.8,5.186 1.5296,aha
149,2.73397,0.0,19.58,0.0,0a.8b7 1c,5.597,94.9,1.5257,...a5_.//b,403,14.7,351.85,21.45,15.4,5.597 1.5257,aha
150,1.6566,0.0,19.58,0.0,0a.8b7 1c,6.122,,1.618,...a5_.//b,403,14.7,372.8,14.1,21.5,6.122 1.618,aha
151,1.49632,0.0,19.58,0.0,0a.8b7 1c,5.404,100.0,1.5916,...a5_.//b,403,14.7,341.6,13.28,19.6,5.404 1.5916,aha
152,1.12658,0.0,19.58,,0a.8b7 1c,5.012,88.0,1.6102,...a5_.//b,403,14.7,343.28,12.12,15.3,5.012 1.6102,aha
153,2.14918,0.0,19.58,0.0,0a.8b7 1c,5.709,98.5,1.6232,...a5_.//b,403,14.7,261.95,15.79,19.4,5.709 1.6232,aha
154,1.41385,0.0,19.58,1.0,0a.8b7 1c,6.129,96.0,1.7494,...a5_.//b,403,14.7,321.02,15.12,17.0,6.129 1.7494,aha
155,3.53501,0.0,19.58,1.0,0a.8b7 1c,6.152,,1.7455,...a5_.//b,403,14.7,88.01,15.02,15.6,6.152 1.7455,aha
156,2.44668,0.0,19.58,0.0,0a.8b7 1c,5.272,94.0,1.7364,...a5_.//b,403,14.7,88.63,16.14,13.1,5.272 1.7364,aha
157,1.22358,,19.58,0.0,0a.6b0 5c,6.943,97.4,1.8773,...a5_.//b,403,14.7,363.43,4.59,41.3,6.943 1.8773,aha
158,1.34284,0.0,19.58,0.0,0a.6b0 5c,6.066,100.0,1.7573,...a5_.//b,403,14.7,353.89,6.43,24.3,6.066 1.7573,aha
159,1.42502,0.0,19.58,0.0,0a.8b7 1c,6.51,100.0,1.7659,...a5_.//b,403,14.7,364.31,7.39,23.3,6.51 1.7659,aha
160,1.27346,0.0,19.58,1.0,0a.6b0 5c,6.25,92.6,1.7984,...a5_.//b,403,14.7,338.92,5.5,27.0,6.25 1.7984,aha
161,1.46336,0.0,19.58,0.0,0a.6b0 5c,7.489,90.8,1.9709,...a5_.//b,403,14.7,374.43,1.73,50.0,7.489 1.9709,aha
162,1.83377,0.0,19.58,1.0,0a.6b0 5c,7.802,98.2,2.0407,...a5_.//b,403,14.7,389.61,1.92,50.0,7.802 2.0407,aha
163,1.51902,0.0,19.58,1.0,0a.6b0 5c,8.375,,2.162,...a5_.//b,403,14.7,388.45,3.32,50.0,8.375 2.162,aha
164,2.24236,0.0,19.58,0.0,0a.6b0 5c,5.854,91.8,2.422,...a5_.//b,403,14.7,395.11,11.64,22.7,5.854 2.422,aha
165,2.924,0.0,19.58,0.0,0a.6b0 5c,6.101,93.0,2.2834,...a5_.//b,403,14.7,240.16,9.81,25.0,6.101 2.2834,aha
166,2.01019,0.0,19.58,0.0,0a.6b0 5c,7.929,96.2,2.0459,...a5_.//b,403,14.7,369.3,3.7,50.0,7.929 2.0459,aha
167,1.80028,,19.58,0.0,0a.6b0 5c,5.877,79.2,2.4259,...a5_.//b,403,14.7,227.61,12.14,23.8,5.877 2.4259,aha
168,2.3004,0.0,19.58,0.0,0a.6b0 5c,6.319,96.1,2.1,...a5_.//b,403,14.7,297.09,11.1,23.8,6.319 2.1,aha
169,2.44953,0.0,19.58,0.0,0a.6b0 5c,6.402,95.2,2.2625,...a5_.//b,403,14.7,330.04,11.32,22.3,6.402 2.2625,aha
170,1.20742,0.0,19.58,0.0,0a.6b0 5c,5.875,94.6,2.4259,...a5_.//b,403,14.7,292.29,14.43,17.4,5.875 2.4259,aha
171,2.3139,0.0,19.58,0.0,0a.6b0 5c,5.88,97.3,2.3887,...a5_.//b,403,14.7,348.13,12.03,19.1,5.88 2.3887,aha
172,0.13914,0.0,4.05,0.0,0a.5b1 c,5.572,88.5,2.5961,...a5_.//b,296,16.6,396.9,14.69,23.1,5.572 2.5961,aha
173,0.09178,0.0,,0.0,0a.5b1 c,6.416,,2.6463,...a5_.//b,296,16.6,395.5,9.04,23.6,6.416 2.6463,aha
174,0.08447,0.0,4.05,0.0,0a.5b1 c,5.859,68.7,2.7019,...a5_.//b,296,16.6,393.23,9.64,22.6,5.859 2.7019,aha
